CountryCode,Language,IsOfficial,Percentage,_metadata_timestamp,_metadata_read_timestamp,_metadata_read_method,_metadata_source_type,_metadata_deleted,_metadata_change_type,_metadata_uuid,_metadata_log_file,_metadata_log_position
UGA,Teso,F,6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,602b2972-aaf4-40e7-aa41-5c0133afd150,,0
VUT,Bislama,T,56.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,0369443e-081b-440a-a595-bab5308605d3,,0
NAM,Nama,F,12.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,d9b86a7c-79e5-4071-9ab4-7addebd06097,,0
YUG,Hungarian,F,3.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,606c3900-adb6-412a-b15c-4e8a2ec4cb67,,0
DNK,English,F,0.3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,f6076c15-8a01-4fd4-b0d0-3df6ea9a2b03,,0
NIU,English,T,0,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,9e0183c5-e66a-4439-8a94-c465cf869b92,,0
ITA,Friuli,F,1.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,8874c05b-410a-413b-84f9-f800d1bf741b,,0
RUS,Udmur,F,0.3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,785da8d6-ec14-4c4a-83c6-b900d0f10ed8,,0
SDN,Nubian Languages,F,8.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,2a64121e-b974-4f26-a946-35a53b3ca71a,,0
HND,Miskito,F,0.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,1993ac7c-f076-488d-93cd-032e24f6c721,,0
HKG,Canton Chinese,F,88.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,3442fa12-64f1-4a7e-9ed6-bb68d1e25ed9,,0
